0,259
1,190
1,416
2,458
4,104
4,247
4,364
4,436
4,487
5,72
5,124
5,281
6,69
7,279
8,230
8,419
8,450
9,337
10,397
11,79
13,189
18,25
18,113
19,368
19,476
20,91
20,146
22,97
22,147
25,445
26,282
26,340
28,143
31,65
33,281
33,308
34,132
35,426
36,482
37,144
37,204
38,417
39,423
40,41
41,473
42,60
43,278
45,16
45,459
46,153
47,438
48,135
48,376
49,241
51,381
51,456
52,34
53,172
53,345
53,461
54,51
56,233
59,51
59,344
60,160
60,222
60,499
61,40
61,374
62,371
62,472
63,102
63,277
65,251
66,268
66,316
66,492
67,126
69,458
71,125
74,13
76,33
76,250
77,13
77,193
80,467
81,97
81,279
82,453
83,68
84,131
84,439
86,174
87,441
91,483
92,265
92,365
93,456
94,499
97,227
99,109
100,16
104,155
106,254
106,323
109,56
111,281
112,154
112,405
114,133
114,164
114,493
116,22
116,192
118,324
119,162
120,385
121,402
123,47
123,500
126,16
127,102
127,277
128,420
128,456
129,307
130,53
130,113
130,252
130,461
130,493
134,448
136,347
136,455
137,77
138,378
139,162
140,428
140,498
142,6
144,125
145,266
145,368
147,173
149,192
151,88
152,132
152,330
152,343
153,222
154,249
155,407
156,171
156,295
156,372
157,25
158,75
159,343
160,147
160,161
161,112
162,128
162,321
163,390
164,198
164,336
164,397
164,446
164,467
165,93
165,94
168,370
168,408
168,412
169,65
170,67
170,373
171,173
171,406
172,31
174,421
175,54
177,37
177,299
178,96
181,363
182,299
182,447
185,46
186,90
186,384
186,458
187,58
187,294
188,249
188,293
188,333
190,411
191,131
191,355
196,217
196,257
196,289
198,61
198,476
202,62
202,191
203,251
204,163
206,267
206,341
206,461
208,3
210,50
210,171
211,75
212,373
212,478
214,146
214,326
215,297
215,371
217,195
218,34
218,147
219,481
220,398
222,483
224,251
224,322
226,156
226,311
227,63
227,132
227,332
230,401
232,13
234,25
234,228
236,81
238,188
239,10
239,406
240,460
241,28
242,68
245,395
245,402
246,142
246,282
246,307
248,270
249,207
249,370
249,400
250,437
252,201
252,235
253,488
254,201
255,391
256,425
257,113
258,297
259,79
260,317
262,317
263,380
264,277
265,141
265,282
267,365
267,489
268,462
269,121
269,478
270,297
270,299
271,362
271,475
272,73
273,22
273,184
273,466
274,397
275,437
277,427
279,464
283,83
283,193
287,10
287,43
288,334
289,147
292,190
293,196
293,259
293,461
293,470
294,187
294,325
294,482
295,315
298,315
300,271
300,298
300,421
302,238
303,91
303,114
303,154
303,233
303,279
303,348
304,121
305,454
306,37
306,192
307,69
308,403
310,306
310,417
311,272
312,319
313,259
314,444
317,272
317,365
317,390
318,46
318,265
320,164
320,226
320,231
322,302
325,97
325,124
325,377
327,168
327,242
327,334
327,439
329,137
329,184
329,460
331,175
331,220
332,1
332,350
332,479
335,36
335,290
335,324
337,410
337,463
338,356
344,277
347,198
350,492
351,125
352,141
353,332
354,130
354,490
355,487
356,332
356,354
357,0
361,352
362,84
363,193
363,238
363,479
368,382
368,475
371,69
372,76
372,398
372,482
373,204
373,399
374,305
375,482
380,304
381,119
381,164
381,212
384,166
384,445
386,7
387,140
388,174
389,342
390,67
390,268
391,38
391,78
393,202
396,10
396,438
398,222
398,229
398,246
398,353
398,417
399,450
400,180
400,279
401,127
404,35
404,325
405,186
406,449
407,31
407,325
410,198
411,7
411,61
411,305
412,236
414,359
415,382
417,10
419,120
419,426
420,61
420,380
422,147
425,445
426,180
427,239
428,490
429,344
430,195
431,103
431,239
431,351
432,112
434,154
434,488
436,79
436,147
438,110
438,460
440,455
441,166
442,479
443,382
445,383
447,265
449,84
451,316
451,356
452,351
453,414
455,250
457,188
457,341
459,106
459,217
460,314
461,59
461,141
461,457
462,67
462,312
462,374
463,26
463,485
464,418
465,306
467,341
469,49
469,453
470,339
471,228
472,427
474,196
475,234
476,219
477,178
479,203
480,179
480,483
483,334
484,360
485,54
489,149
489,192
490,143
492,198
495,88
495,156
498,75
498,350
499,297
499,307
500,76
500,175
500,270
